pid,list,item,variant,tense,sentence,target_verb,n_syllables,stress_idx,stress_start,stress_end,verb_syllable_labels,file
P01,1,1,a,present,el dueño busca la llave,busca,2,0,0.59,0.79,bus.ka,P01_L1_01a
P01,1,1,b,past,el dueño buscó la llave,buscó,2,1,0.79,0.94,bus.ko,P01_L1_01b
P01,1,2,a,present,el cloro limpia el virus,limpia,2,0,0.66,0.91,lim.pja,P01_L1_02a
P01,1,2,b,past,el cloro limpió el virus,limpió,2,1,0.76,0.97,lim.pjo,P01_L1_02b
P01,1,3,a,present,el hijo planta el árbol,planta,2,0,0.54,0.77,plan.t̪a,P01_L1_03a
P01,1,3,b,past,el hijo plantó el árbol,plantó,2,1,0.7,0.83,plan.t̪o,P01_L1_03b
P01,1,4,a,present,el grifo filtra el agua,filtra,2,0,0.66,1.04,filt̪.ɾa,P01_L1_04a
P01,1,4,b,past,el grifo filtró el agua,filtró,2,1,1.01,1.2,filt̪.ɾo,P01_L1_04b
P01,1,5,a,present,el tío monta el alioli,monta,2,0,0.54,0.8,mon.t̪a,P01_L1_05a
P01,1,5,b,past,el tío montó el alioli,montó,2,1,0.76,0.9,mon.t̪o,P01_L1_05b
P01,1,6,a,present,el ave canta la canción,canta,2,0,0.51,0.73,kan.t̪a,P01_L1_06a
P01,1,6,b,past,el ave cantó la canción,cantó,2,1,0.72,0.89,kan.t̪o,P01_L1_06b
P01,1,7,a,present,la joven junta la basura,junta,2,0,0.74,1.03,xun.t̪a,P01_L1_07a
P01,1,7,b,past,la joven juntó la basura,juntó,2,1,0.91,1.09,xun.t̪o,P01_L1_07b
P01,1,8,a,present,la osa marca la puerta,marca,2,0,0.72,1.0,mar.ka,P01_L1_08a
P01,1,8,b,past,la osa marcó la puerta,marcó,2,1,0.88,1.01,mar.ko,P01_L1_08b
P01,1,9,a,present,el río mezcla la arena,mezcla,2,0,0.64,0.87,meθ.kla,P01_L1_09a
P01,1,9,b,past,el río mezcló la arena,mezcló,2,1,0.72,0.96,meθ.klo,P01_L1_09b
P01,1,10,a,present,el suegro sopla la vela,sopla,2,0,0.57,0.79,so.pla,P01_L1_10a
P01,1,10,b,past,el suegro sopló la vela,sopló,2,1,0.91,1.07,so.plo,P01_L1_10b
P01,1,11,a,present,el yerno culpa el ruido,culpa,2,0,0.77,0.94,kul.pa,P01_L1_11a
P01,1,11,b,past,el yerno culpó el ruido,culpó,2,1,0.68,0.9,kul.po,P01_L1_11b
P01,1,12,a,present,la tinta mancha la camisa,mancha,2,0,0.58,0.75,man.tʃa,P01_L1_12a
P01,1,12,b,past,la tinta manchó la camisa,manchó,2,1,0.77,0.92,man.tʃo,P01_L1_12b
P01,1,13,a,present,la doña gasta el dinero,gasta,2,0,0.67,0.88,ɡas.t̪a,P01_L1_13a
P01,1,13,b,past,la doña gastó el dinero,gastó,2,1,1.22,1.54,ɡas.t̪o,P01_L1_13b
P01,1,14,a,present,la perra salta la cerca,salta,2,0,0.92,1.24,sal.t̪a,P01_L1_14a
P01,1,14,b,past,la perra saltó la cerca,saltó,2,1,0.99,1.16,sal.t̪o,P01_L1_14b
P01,1,15,a,present,el cúter corta el paquete,corta,2,0,1.51,1.73,kor.t̪a,P01_L1_15a
P01,1,15,b,past,el cúter cortó el paquete,cortó,2,1,1.32,1.44,kor.t̪o,P01_L1_15b
P01,1,16,a,present,la niña busca el gato,busca,2,0,0.94,1.18,bus.ka,P01_L1_16a
P01,1,16,b,past,la niña buscó el gato,buscó,2,1,0.98,1.22,bus.ko,P01_L1_16b
P01,1,17,a,present,la madre limpia la casa,limpia,2,0,0.59,0.81,lim.pja,P01_L1_17a
P01,1,17,b,past,la madre limpió la casa,limpió,2,1,0.84,1.08,lim.pjo,P01_L1_17b
P01,1,18,a,present,la hija planta la flor,planta,2,0,0.92,1.18,plan.t̪a,P01_L1_18a
P01,1,18,b,past,la hija plantó la flor,plantó,2,1,1.12,1.25,plan.t̪o,P01_L1_18b
P01,1,19,a,present,el termo filtra el té,filtra,2,0,0.87,1.21,filt̪.ɾa,P01_L1_19a
P01,1,19,b,past,el termo filtró el té,filtró,2,1,1.31,1.43,filt̪.ɾo,P01_L1_19b
P01,1,20,a,present,la tía monta la nata,monta,2,0,0.77,1.01,mon.t̪a,P01_L1_20a
P01,1,20,b,past,la tía montó la nata,montó,2,1,0.94,1.11,mon.t̪o,P01_L1_20b
P01,1,21,a,present,la nieta canta el himno,canta,2,0,0.8,1.04,kan.t̪a,P01_L1_21a
P01,1,21,b,past,la nieta cantó el himno,cantó,2,1,0.87,1.03,kan.t̪o,P01_L1_21b
P01,1,22,a,present,el duque junta la leña,junta,2,0,0.6,0.87,xun.t̪a,P01_L1_22a
P01,1,22,b,past,el duque juntó la leña,juntó,2,1,0.8,0.94,xun.t̪o,P01_L1_22b
P01,1,23,a,present,el perro marca el territorio,marca,2,0,0.8,1.09,mar.ka,P01_L1_23a
P01,1,23,b,past,el perro marcó el territorio,marcó,2,1,0.86,1.0,mar.ko,P01_L1_23b
P01,1,24,a,present,el lobo mezcla la carne,mezcla,2,0,0.53,0.78,meθ.kla,P01_L1_24a
P01,1,24,b,past,el lobo mezcló la carne,mezcló,2,1,0.75,0.99,meθ.klo,P01_L1_24b
P01,1,25,a,present,el nene sopla el guiso,sopla,2,0,0.54,0.76,so.pla,P01_L1_25a
P01,1,25,b,past,el nene sopló el guiso,sopló,2,1,0.77,0.98,so.plo,P01_L1_25b
P01,1,26,a,present,la dama culpa la tormenta,culpa,2,0,0.65,0.82,kul.pa,P01_L1_26a
P01,1,26,b,past,la dama culpó la tormenta,culpó,2,1,0.74,1.09,kul.po,P01_L1_26b
P01,1,27,a,present,el lodo mancha el pantalón,mancha,2,0,0.37,0.59,man.tʃa,P01_L1_27a
P01,1,27,b,past,el lodo manchó el pantalón,manchó,2,1,0.94,1.06,man.tʃo,P01_L1_27b
P01,1,28,a,present,el chico gasta la pila,gasta,2,0,1.11,1.29,ɡas.t̪a,P01_L1_28a
P01,1,28,b,past,el chico gastó la pila,gastó,2,1,0.92,1.0,ɡas.t̪o,P01_L1_28b
P01,1,29,a,present,el socio salta el control,salta,2,0,0.76,1.07,sal.t̪a,P01_L1_29a
P01,1,29,b,past,el socio saltó el control,saltó,2,1,0.9,1.01,sal.t̪o,P01_L1_29b
